CodigoProduto	CodigoProdutoPai	Codigobarras	CodigoFabricante	TipoProduto	NomeProduto	Descricao	Classe	Marca	Familia	Grupo	SubGrupo	Peso	Comprimento	Largura	Espessura	QtdePorEmbalagem	QtdeMinimaEstoque	QtdeMaximaEstoque	UnidadeMedidaNome	UnidadeMedidaAbrev	CodigoCategoriaFiscal	ClassificacaoFiscal	DescritorSimples1	DescritorSimples2	DescritorSimples3	DescritorPreDefinido1	DescritorPreDefinido2	DescritorPreDefinido3	DescricaoComplementar1	DescricaoComplementar2	DescricaoComplementar3	DescricaoComplementar4	DescricaoComplementar5	DescricaoComplementar6	DescricaoComplementar7	DescricaoComplementar8	DescricaoComplementar9	DescricaoComplementar10	PrecoTabela1	PrecoPromocao1	InicioPromocao1	TerminoPromocao1	PrecoTabela2	PrecoPromocao2	InicioPromocao2	TerminoPromocao2	DiasGarantia	PrazoEntregaDias	ControlaEstoque	ProdutoSerBrinde	CategoriasSite	Interfaces	AtributoEstendido1	AtributoEstendido2	AtributoEstendido3	AtributoEstendido4	AtributoEstendido5	AtributoEstendido6	AtributoEstendido7	AtributoEstendido8	AtributoEstendido9	AtributoEstendido10	OrigemMercadoria
91600	91598	0350212139813	131027/CAMISETA PAETE E MALHA	P	CAMISETA PAETE E MALHA	Blusa em malha com paetê	Roupa	JO FASHION	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61099000	Rose	Rose	Rose	Rose	M	OLOOK	"P: Ombro: 35cm / Busto: 88cm / Comprimento: 66cm; M: Ombro: 37cm / Busto: 90cm / Comprimento: 66cm; G: Ombro: 39cm / Busto: 92cm / Comprimento: 66cm"			Blusa	Blusa manga curta em malha com paetês. Na cor bege	TECIDO COM PAETE 100% POLIESTER TECIDO EM MALHA  96% VISCOSE 04% ELASTANO			Fashionista, Elegante		159.9												1,4,15,45	5											
91601	91598	0350212139814	131027/CAMISETA PAETE E MALHA	P	CAMISETA PAETE E MALHA	Blusa em malha com paetê	Roupa	JO FASHION	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61099000	Rose	Rose	Rose	Rose	G	OLOOK	"P: Ombro: 35cm / Busto: 88cm / Comprimento: 66cm; M: Ombro: 37cm / Busto: 90cm / Comprimento: 66cm; G: Ombro: 39cm / Busto: 92cm / Comprimento: 66cm"			Blusa	Blusa manga curta em malha com paetês. Na cor bege	TECIDO COM PAETE 100% POLIESTER TECIDO EM MALHA  96% VISCOSE 04% ELASTANO			Fashionista, Elegante		159.9												1,4,15,45	5											
91646			13098/BLUSA M RECORTADO MANGA	P	BLUSA M RECORTADO MANGA	Blusa com recorte em malha	Roupa	Loderrol	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62063000	Azul	Azul	Azul	Azul		OLOOK	"P: Ombro: 46cm / Busto: 100cm / Comprimento: 58cm; M: Ombro: 48cm / Busto: 102cm / Comprimento: 58cm; G: Ombro: 50cm / Busto: 104cm / Comprimento: 58cm"			Blusa	Blusa em malha com recorte, manga 3/4 e gola canoa. Nas cores preto, azul e verde.	96% VISCOSE 04% ELASTANO			Básica		69.9												1,3,15,47,46	5											
91647	91646	0350812141012	13098/BLUSA M RECORTADO MANGA	P	BLUSA M RECORTADO MANGA	Blusa com recorte em malha	Roupa	Loderrol	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62063000	Azul	Azul	Azul	Azul	P	OLOOK	"P: Ombro: 46cm / Busto: 100cm / Comprimento: 58cm; M: Ombro: 48cm / Busto: 102cm / Comprimento: 58cm; G: Ombro: 50cm / Busto: 104cm / Comprimento: 58cm"			Blusa	Blusa em malha com recorte, manga 3/4 e gola canoa. Nas cores preto, azul e verde.	96% VISCOSE 04% ELASTANO			Básica		69.9												1,3,15,47,46	5											
91648	91646	0350812141013	13098/BLUSA M RECORTADO MANGA	P	BLUSA M RECORTADO MANGA	Blusa com recorte em malha	Roupa	Loderrol	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62063000	Azul	Azul	Azul	Azul	M	OLOOK	"P: Ombro: 46cm / Busto: 100cm / Comprimento: 58cm; M: Ombro: 48cm / Busto: 102cm / Comprimento: 58cm; G: Ombro: 50cm / Busto: 104cm / Comprimento: 58cm"			Blusa	Blusa em malha com recorte, manga 3/4 e gola canoa. Nas cores preto, azul e verde.	96% VISCOSE 04% ELASTANO			Básica		69.9												1,3,15,47,46	5											
91649	91646	0350812141014	13098/BLUSA M RECORTADO MANGA	P	BLUSA M RECORTADO MANGA	Blusa com recorte em malha	Roupa	Loderrol	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62063000	Azul	Azul	Azul	Azul	G	OLOOK	"P: Ombro: 46cm / Busto: 100cm / Comprimento: 58cm; M: Ombro: 48cm / Busto: 102cm / Comprimento: 58cm; G: Ombro: 50cm / Busto: 104cm / Comprimento: 58cm"			Blusa	Blusa em malha com recorte, manga 3/4 e gola canoa. Nas cores preto, azul e verde.	96% VISCOSE 04% ELASTANO			Básica		69.9												1,3,15,47,46	5											
91900			010160001/BLUSA M/L AD	P	BLUSA M/L AD	Blusa ampla lurex	Roupa	K2B	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61069000	Bege	Bege	Bege	Bege		OLOOK	"P: Ombro: 59cm / Busto: 106cm / Comprimento: 61cm; M: Ombro: 61cm / Busto: 108cm / Comprimento: 61cm; G: Ombro: 63cm / Busto: 110cm / Comprimento: 61cm "			Blusa	Blusa ampla com fios dourados. Na cor bege.	81% VISCOSE 10% POLIESTER 09% POLIAMIDA			Básica, Fashionista		79.9												1,3,4,15,47,45	5											
91901	91900	0353412146712	010160001/BLUSA M/L AD	P	BLUSA M/L AD	Blusa ampla lurex	Roupa	K2B	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61069000	Bege	Bege	Bege	Bege	P	OLOOK	"P: Ombro: 59cm / Busto: 106cm / Comprimento: 61cm; M: Ombro: 61cm / Busto: 108cm / Comprimento: 61cm; G: Ombro: 63cm / Busto: 110cm / Comprimento: 61cm "			Blusa	Blusa ampla com fios dourados. Na cor bege.	81% VISCOSE 10% POLIESTER 09% POLIAMIDA			Básica, Fashionista		79.9												1,3,4,15,47,45	5											
91902	91900	0353412146713	010160001/BLUSA M/L AD	P	BLUSA M/L AD	Blusa ampla lurex	Roupa	K2B	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61069000	Bege	Bege	Bege	Bege	M	OLOOK	"P: Ombro: 59cm / Busto: 106cm / Comprimento: 61cm; M: Ombro: 61cm / Busto: 108cm / Comprimento: 61cm; G: Ombro: 63cm / Busto: 110cm / Comprimento: 61cm "			Blusa	Blusa ampla com fios dourados. Na cor bege.	81% VISCOSE 10% POLIESTER 09% POLIAMIDA			Básica, Fashionista		79.9												1,3,4,15,47,45	5											
91903	91900	0353412146714	010160001/BLUSA M/L AD	P	BLUSA M/L AD	Blusa ampla lurex	Roupa	K2B	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61069000	Bege	Bege	Bege	Bege	G	OLOOK	"P: Ombro: 59cm / Busto: 106cm / Comprimento: 61cm; M: Ombro: 61cm / Busto: 108cm / Comprimento: 61cm; G: Ombro: 63cm / Busto: 110cm / Comprimento: 61cm "			Blusa	Blusa ampla com fios dourados. Na cor bege.	81% VISCOSE 10% POLIESTER 09% POLIAMIDA			Básica, Fashionista		79.9												1,3,4,15,47,45	5											
91976			98-12808/15568 BLUSA DE MANGUINHA	P	15568 BLUSA DE MANGUINHA	Blusa em malha tricot	Roupa	Caramelo	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62069000	Preto	Preto	Preto	Preto		OLOOK	"P: Ombro: 41cm / Busto: 84cm / Comprimento:66cm; M:Ombro: 43cm / Busto: 86cm / Comprimento: 66cm; G: Ombro: 45cm / Busto: 88cm / Comprimento: 66cm"			Blusa	Blusa em malha tricot com detalhe ziper. Nas cores preto e branco.	100% VISCOSE			Básica		59.9												1,3,15,19,47,45	5											
91977	91976	0353512148812	98-12808/15568 BLUSA DE MANGUINHA	P	15568 BLUSA DE MANGUINHA	Blusa em malha tricot	Roupa	Caramelo	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62069000	Preto	Preto	Preto	Preto	P	OLOOK	"P: Ombro: 41cm / Busto: 84cm / Comprimento:66cm; M:Ombro: 43cm / Busto: 86cm / Comprimento: 66cm; G: Ombro: 45cm / Busto: 88cm / Comprimento: 66cm"			Blusa	Blusa em malha tricot com detalhe ziper. Nas cores preto e branco.	100% VISCOSE			Básica		59.9												1,3,15,19,47,45	5											
91978	91976	0353512148813	98-12808/15568 BLUSA DE MANGUINHA	P	15568 BLUSA DE MANGUINHA	Blusa em malha tricot	Roupa	Caramelo	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62069000	Preto	Preto	Preto	Preto	M	OLOOK	"P: Ombro: 41cm / Busto: 84cm / Comprimento:66cm; M:Ombro: 43cm / Busto: 86cm / Comprimento: 66cm; G: Ombro: 45cm / Busto: 88cm / Comprimento: 66cm"			Blusa	Blusa em malha tricot com detalhe ziper. Nas cores preto e branco.	100% VISCOSE			Básica		59.9												1,3,15,19,47,45	5											
91979	91976	0353512148814	98-12808/15568 BLUSA DE MANGUINHA	P	15568 BLUSA DE MANGUINHA	Blusa em malha tricot	Roupa	Caramelo	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62069000	Preto	Preto	Preto	Preto	G	OLOOK	"P: Ombro: 41cm / Busto: 84cm / Comprimento:66cm; M:Ombro: 43cm / Busto: 86cm / Comprimento: 66cm; G: Ombro: 45cm / Busto: 88cm / Comprimento: 66cm"			Blusa	Blusa em malha tricot com detalhe ziper. Nas cores preto e branco.	100% VISCOSE			Básica		59.9												1,3,15,19,47,45	5											
91980			98-12808/15568 BLUSA DE MANGUINHA	P	15568 BLUSA DE MANGUINHA	Blusa em malha tricot	Roupa	Caramelo	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62069000	Branco	Branco	Branco	Branco		OLOOK	"P: Ombro: 41cm / Busto: 84cm / Comprimento:66cm; M:Ombro: 43cm / Busto: 86cm / Comprimento: 66cm; G: Ombro: 45cm / Busto: 88cm / Comprimento: 66cm"			Blusa	Blusa em malha tricot com detalhe ziper. Nas cores preto e branco.	100% VISCOSE			Básica		59.9												1,3,15,19,47	5											
91981	91980	0353512148912	98-12808/15568 BLUSA DE MANGUINHA	P	15568 BLUSA DE MANGUINHA	Blusa em malha tricot	Roupa	Caramelo	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62069000	Branco	Branco	Branco	Branco	P	OLOOK	"P: Ombro: 41cm / Busto: 84cm / Comprimento:66cm; M:Ombro: 43cm / Busto: 86cm / Comprimento: 66cm; G: Ombro: 45cm / Busto: 88cm / Comprimento: 66cm"			Blusa	Blusa em malha tricot com detalhe ziper. Nas cores preto e branco.	100% VISCOSE			Básica		59.9												1,3,15,19,47	5											
91982	91980	0353512148913	98-12808/15568 BLUSA DE MANGUINHA	P	15568 BLUSA DE MANGUINHA	Blusa em malha tricot	Roupa	Caramelo	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62069000	Branco	Branco	Branco	Branco	M	OLOOK	"P: Ombro: 41cm / Busto: 84cm / Comprimento:66cm; M:Ombro: 43cm / Busto: 86cm / Comprimento: 66cm; G: Ombro: 45cm / Busto: 88cm / Comprimento: 66cm"			Blusa	Blusa em malha tricot com detalhe ziper. Nas cores preto e branco.	100% VISCOSE			Básica		59.9												1,3,15,19,47	5											
91983	91980	0353512148914	98-12808/15568 BLUSA DE MANGUINHA	P	15568 BLUSA DE MANGUINHA	Blusa em malha tricot	Roupa	Caramelo	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62069000	Branco	Branco	Branco	Branco	G	OLOOK	"P: Ombro: 41cm / Busto: 84cm / Comprimento:66cm; M:Ombro: 43cm / Busto: 86cm / Comprimento: 66cm; G: Ombro: 45cm / Busto: 88cm / Comprimento: 66cm"			Blusa	Blusa em malha tricot com detalhe ziper. Nas cores preto e branco.	100% VISCOSE			Básica		59.9												1,3,15,19,47	5											
